Sector,Region,Year,GVA,Employment,Number of business sites
All DCMS Sectors,East,2010,118844.0,,
All DCMS Sectors,East,2011,120205.0,,
All DCMS Sectors,East,2012,123745.0,,
All DCMS Sectors,East,2013,130040.0,,
All DCMS Sectors,East,2014,136762.0,,59.064
All DCMS Sectors,East,2015,141893.0,,61.74
All DCMS Sectors,East,2016,147111.12665772895,,
All DCMS Sectors,East,2017,,322.0,
All DCMS Sectors,East Midlands,2010,81910.0,,
All DCMS Sectors,East Midlands,2011,84156.0,,
All DCMS Sectors,East Midlands,2012,86924.0,,
All DCMS Sectors,East Midlands,2013,90734.0,,
All DCMS Sectors,East Midlands,2014,94431.0,,34.063
All DCMS Sectors,East Midlands,2015,97063.0,,35.323
All DCMS Sectors,East Midlands,2016,99903.05012682767,,
All DCMS Sectors,East Midlands,2017,,212.0,
All DCMS Sectors,London,2010,308208.0,,
All DCMS Sectors,London,2011,320147.0,,
All DCMS Sectors,London,2012,336188.0,,
All DCMS Sectors,London,2013,352261.0,,
All DCMS Sectors,London,2014,379402.0,,148.329
All DCMS Sectors,London,2015,388703.0,,158.951
All DCMS Sectors,London,2016,407728.25654437084,,
All DCMS Sectors,London,2017,,985.0,
All DCMS Sectors,North East,2010,44008.0,,
All DCMS Sectors,North East,2011,45186.0,,
All DCMS Sectors,North East,2012,46266.0,,
All DCMS Sectors,North East,2013,46809.0,,
All DCMS Sectors,North East,2014,48811.0,,15.404
All DCMS Sectors,North East,2015,50087.0,,16.041
All DCMS Sectors,North East,2016,50581.86442971607,,
All DCMS Sectors,North East,2017,,105.0,
All DCMS Sectors,North West,2010,139447.0,,
All DCMS Sectors,North West,2011,140133.0,,
All DCMS Sectors,North West,2012,144592.0,,
All DCMS Sectors,North West,2013,149815.0,,
All DCMS Sectors,North West,2014,154709.0,,54.734
All DCMS Sectors,North West,2015,160882.0,,57.093
All DCMS Sectors,North West,2016,166235.91249834778,,
All DCMS Sectors,North West,2017,,350.0,
All DCMS Sectors,Northern Ireland,2010,31283.999999999996,,
All DCMS Sectors,Northern Ireland,2011,31933.0,,
All DCMS Sectors,Northern Ireland,2012,33022.0,,
All DCMS Sectors,Northern Ireland,2013,33843.0,,
All DCMS Sectors,Northern Ireland,2014,34819.0,,11.263
All DCMS Sectors,Northern Ireland,2015,36021.0,,11.596
All DCMS Sectors,Northern Ireland,2016,37168.56212667661,,
All DCMS Sectors,Northern Ireland,2017,,60.0,
All DCMS Sectors,Scotland,2010,110321.0,,
All DCMS Sectors,Scotland,2011,113245.0,,
All DCMS Sectors,Scotland,2012,116540.99999999999,,
All DCMS Sectors,Scotland,2013,122256.0,,
All DCMS Sectors,Scotland,2014,128594.99999999999,,42.117
All DCMS Sectors,Scotland,2015,130117.0,,43.565
All DCMS Sectors,Scotland,2016,133791.65159211212,,
All DCMS Sectors,Scotland,2017,,303.0,
All DCMS Sectors,South East,2010,209974.00000000003,,
All DCMS Sectors,South East,2011,215135.0,,
All DCMS Sectors,South East,2012,223719.00000000003,,
All DCMS Sectors,South East,2013,232231.0,,
All DCMS Sectors,South East,2014,242064.0,,104.336
All DCMS Sectors,South East,2015,251770.00000000003,,109.038
All DCMS Sectors,South East,2016,258426.1640766127,,
All DCMS Sectors,South East,2017,,604.0,
All DCMS Sectors,South West,2010,106194.99999999999,,
All DCMS Sectors,South West,2011,107016.0,,
All DCMS Sectors,South West,2012,111120.00000000001,,
All DCMS Sectors,South West,2013,113755.0,,
All DCMS Sectors,South West,2014,120217.99999999999,,54.358
All DCMS Sectors,South West,2015,122326.0,,56.015
All DCMS Sectors,South West,2016,127137.90303190518,,
All DCMS Sectors,South West,2017,,347.0,
All DCMS Sectors,Wales,2010,48182.0,,
All DCMS Sectors,Wales,2011,50801.0,,
All DCMS Sectors,Wales,2012,52127.0,,
All DCMS Sectors,Wales,2013,54125.0,,
All DCMS Sectors,Wales,2014,55154.0,,21.517
All DCMS Sectors,Wales,2015,57316.00000000001,,22.147
All DCMS Sectors,Wales,2016,59475.48874286397,,
All DCMS Sectors,Wales,2017,,141.0,
All DCMS Sectors,West Midlands,2010,100260.0,,
All DCMS Sectors,West Midlands,2011,103943.0,,
All DCMS Sectors,West Midlands,2012,107289.99999999999,,
All DCMS Sectors,West Midlands,2013,111885.0,,
All DCMS Sectors,West Midlands,2014,117854.99999999999,,41.413
All DCMS Sectors,West Midlands,2015,121849.0,,43.108
All DCMS Sectors,West Midlands,2016,126356.34210741642,,
All DCMS Sectors,West Midlands,2017,,262.0,
All DCMS Sectors,Yorkshire and The Humber,2010,96087.99999999999,,
All DCMS Sectors,Yorkshire and The Humber,2011,98261.00000000001,,
All DCMS Sectors,Yorkshire and The Humber,2012,100100.00000000001,,
All DCMS Sectors,Yorkshire and The Humber,2013,102933.0,,
All DCMS Sectors,Yorkshire and The Humber,2014,105582.0,,38.524
All DCMS Sectors,Yorkshire and The Humber,2015,109890.00000000001,,40.207
All DCMS Sectors,Yorkshire and The Humber,2016,111987.79867444627,,
All DCMS Sectors,Yorkshire and The Humber,2017,,251.0,
Creative Industries,East,2010,3740.567082085594,,
Creative Industries,East,2011,3943.5950858769284,118,
Creative Industries,East,2012,4287.0271535434385,153,
Creative Industries,East,2013,4250.8286652770075,150,
Creative Industries,East,2014,4442.525167515743,136,24.376
Creative Industries,East,2015,4845.79887253918,139,26.317
Creative Industries,East,2016,5064.027440498341,148,
Creative Industries,East,2017,,146,
Creative Industries,East Midlands,2010,1715.2849947126635,,
Creative Industries,East Midlands,2011,1729.6955882462073,67,
Creative Industries,East Midlands,2012,1928.5668804044233,85,
Creative Industries,East Midlands,2013,1934.179641890675,83,
Creative Industries,East Midlands,2014,1970.31867668338,94,11.135
Creative Industries,East Midlands,2015,1986.6552135145778,103,11.868
Creative Industries,East Midlands,2016,1993.1411545079316,105,
Creative Industries,East Midlands,2017,,101,
Creative Industries,London,2010,29399.414652237345,,
Creative Industries,London,2011,31533.628361666288,497,
Creative Industries,London,2012,33106.77095662369,513,
Creative Industries,London,2013,36068.19554736472,530,
Creative Industries,London,2014,39779.790663864944,575,83.941
Creative Industries,London,2015,43036.30402188285,575,92.19
Creative Industries,London,2016,46993.792305762196,623,
Creative Industries,London,2017,,656,
Creative Industries,North East,2010,669.1162232266892,,
Creative Industries,North East,2011,823.4414252518523,31,
Creative Industries,North East,2012,856.0865690034883,33,
Creative Industries,North East,2013,788.5177788489376,37,
Creative Industries,North East,2014,822.2492689264944,39,4.02
Creative Industries,North East,2015,892.4719768446281,38,4.297
Creative Industries,North East,2016,983.482317245815,42.5,
Creative Industries,North East,2017,,46,
Creative Industries,North West,2010,3830.4017498402172,,
Creative Industries,North West,2011,4092.3558189980213,125,
Creative Industries,North West,2012,4128.522026179715,130,
Creative Industries,North West,2013,4332.69654640809,130,
Creative Industries,North West,2014,5010.0969186110515,139,17.648
Creative Industries,North West,2015,5148.614973545815,138,19.047
Creative Industries,North West,2016,5194.857705990066,137,
Creative Industries,North West,2017,,147,
Creative Industries,Northern Ireland,2010,727.176365228083,,
Creative Industries,Northern Ireland,2011,814.9011670605922,30,
Creative Industries,Northern Ireland,2012,862.4178381902815,25,
Creative Industries,Northern Ireland,2013,856.5018279918104,24,
Creative Industries,Northern Ireland,2014,863.2399154303375,27,2.766
Creative Industries,Northern Ireland,2015,935.3456119019577,26,2.918
Creative Industries,Northern Ireland,2016,1011.7157353838307,24,
Creative Industries,Northern Ireland,2017,,25.331,
Creative Industries,Scotland,2010,2488.579521997677,,
Creative Industries,Scotland,2011,2569.587779600045,102,
Creative Industries,Scotland,2012,2659.821492870512,110,
Creative Industries,Scotland,2013,3049.723779223679,102,
Creative Industries,Scotland,2014,3341.602230180537,102,12.323
Creative Industries,Scotland,2015,3567.6575206474868,117,13.342
Creative Industries,Scotland,2016,3663.8773060926933,132,
Creative Industries,Scotland,2017,,127,
Creative Industries,South East,2010,12028.254188674946,,
Creative Industries,South East,2011,12808.886809892525,260,
Creative Industries,South East,2012,13802.186216862416,279,
Creative Industries,South East,2013,14226.505914600235,274,
Creative Industries,South East,2014,13864.986873777929,285,48.654
Creative Industries,South East,2015,14881.046633138334,297,52.318
Creative Industries,South East,2016,16040.54010997443,310,
Creative Industries,South East,2017,,305,
Creative Industries,South West,2010,3193.3240608534675,,
Creative Industries,South West,2011,3050.500966816488,117,
Creative Industries,South West,2012,3218.5638604471837,126,
Creative Industries,South West,2013,3353.263046924223,128,
Creative Industries,South West,2014,3832.697746897698,156,19.235
Creative Industries,South West,2015,3656.962161222988,156,20.42
Creative Industries,South West,2016,4055.4905859019245,151,
Creative Industries,South West,2017,,159,
